[2025-06-10 20:20:33,965] INFO inference.services.recognize_wav2vec - Распознавание Wav2Vec2
[2025-06-10 20:20:35,069] INFO inference.apps - Модели успешно загружены и прогреты при старте Django.
[2025-06-10 20:21:10,348] INFO inference.apps - Старт загрузки моделей при запуске Django...
[2025-06-10 20:21:10,348] INFO inference.services.recognize_whisper - Загрузка модели Whisper...
[2025-06-10 20:21:11,154] INFO inference.services.recognize_whisper - Модель Whisper загружена.
[2025-06-10 20:21:11,154] INFO inference.services.recognize_wav2vec - Загрузка модели Wav2Vec2...
[2025-06-10 20:21:11,370] INFO inference.services.recognize_wav2vec - Модель Wav2Vec2 загружена.
[2025-06-10 20:21:11,377] INFO inference.apps - Прогрев Whisper...
[2025-06-10 20:21:11,377] INFO inference.services.recognize_whisper - Распознавание Whisper
[2025-06-10 20:21:16,394] INFO inference.apps - Прогрев Wav2Vec2...
[2025-06-10 20:21:16,394] INFO inference.services.recognize_wav2vec - Распознавание Wav2Vec2
[2025-06-10 20:21:17,452] INFO inference.apps - Модели успешно загружены и прогреты при старте Django.
[2025-06-10 20:21:36,932] INFO inference.apps - Старт загрузки моделей при запуске Django...
[2025-06-10 20:21:36,932] INFO inference.services.recognize_whisper - Загрузка модели Whisper...
[2025-06-10 20:21:37,689] INFO inference.services.recognize_whisper - Модель Whisper загружена.
[2025-06-10 20:21:37,689] INFO inference.services.recognize_wav2vec - Загрузка модели Wav2Vec2...
[2025-06-10 20:21:37,913] INFO inference.services.recognize_wav2vec - Модель Wav2Vec2 загружена.
[2025-06-10 20:21:37,927] INFO inference.apps - Прогрев Whisper...
[2025-06-10 20:21:37,927] INFO inference.services.recognize_whisper - Распознавание Whisper
[2025-06-10 20:21:43,087] INFO inference.apps - Прогрев Wav2Vec2...
[2025-06-10 20:21:43,087] INFO inference.services.recognize_wav2vec - Распознавание Wav2Vec2
[2025-06-10 20:21:44,128] INFO inference.apps - Модели успешно загружены и прогреты при старте Django.
